incident_id,FacilityName,assigned_cell_id
1331,Station 05,296
1332,Station 09,296
1333,Station 14,354
1334,Station 05,296
1335,Station 33,501
1336,Station 09,296
1337,Station 21,350
1338,Station 09,296
1339,Station 25,276
1340,Station 06,375
1341,Station 05,296
1342,Station 12,352
1343,Station 24,228
1344,Station 27,318
1345,Station 08,270
1346,Station 19,249
1347,Station 04,430
1348,Station 08,270
1349,Station 12,352
1350,Station 04,430
1351,Station 06,375
1352,Station 15,432
1353,Station 04,430
1354,Station 24,228
1355,Station 21,350
1356,Station 08,270
1357,Station 09,296
1358,Station 09,296
1359,Station 18,355
1360,Station 37,80
1361,Station 20,220
1362,Station 26,452
1363,Station 05,296
1364,Station 11,250
1365,Station 08,270
1366,Station 27,318
1367,Station 20,220
1368,Station 03,326
1369,Station 09,296
1370,Station 24,228
1371,Station 04,430
1372,Station 09,296
1373,Station 03,326
1374,Station 14,354
1375,Station 28,435
1376,Station 04,430
1377,Station 09,296
1378,Station 37,80
1379,Station 19,249
1380,Station 05,296
1381,Station 18,355
1382,Station 01,329
1383,Station 01,329
1384,Station 24,228
1385,Station 08,270
1386,Station 07,149
1387,Station 21,350
1388,Station 11,250
1389,Station 24,228
1390,Station 06,375
1391,Station 25,276
1392,Station 04,430
1393,Station 16,270
1394,Station 37,80
1395,Station 23,177
1396,Station 24,228
1397,Station 21,350
1398,Station 08,270
1399,Station 09,296
1400,Station 18,355
1401,Station 03,326
1402,Station 21,350
1403,Station 18,355
1404,Station 18,355
1405,Station 11,250
1406,Station 15,432
1407,Station 11,250
1408,Station 11,250
1409,Station 16,270
1410,Station 09,296
1411,Station 28,435
1412,Station 33,501
1413,Station 19,249
1414,Station 09,296
1415,Station 11,250
1416,Station 18,355
1417,Station 05,296
1418,Station 13,224
1419,Station 01,329
1420,Station 09,296
1421,Station 09,296
1422,Station 03,326
1423,Station 20,220
1424,Station 14,354
1425,Station 37,80
1426,Station 19,249
1427,Station 21,350
1428,Station 14,354
